email_email;price;currency_currencyCode;productName;category_categoryID;status_statusID
hasan.ciftci@renovaconsulting.com.tr;15.50;TRY;Deneme1;1;AVLB
hasan.ciftci@renovaconsulting.com.tr;25.00;USD;Deneme2;2;DCTV
hasan.ciftci@renovaconsulting.com.tr;138.50;EUR;Deneme3;3;AVLB
hasan.ciftci@renovaconsulting.com.tr;166.99;TRY;Deneme4;4;DCTV
hasan.ciftci@renovaconsulting.com.tr;2170.00;TRY;Deneme5;5;DCTV
hasan.ciftci@renovaconsulting.com.tr;569170.00;USD;Deneme6;4;DCTV
hasan.ciftci@renovaconsulting.com.tr;536.77;TRY;Deneme7;3;AVLB
hasan.ciftci@renovaconsulting.com.tr;70.00;USD;Deneme8;1;AVLB
hasan.ciftci@renovaconsulting.com.tr;80.00;TRY;Deneme9;2;DCTV
hasan.ciftci@renovaconsulting.com.tr;90.00;USD;Deneme10;5;AVLB
hasan.ciftci@renovaconsulting.com.tr;50.00;TRY;Deneme11;1;DCTV
hasan.ciftci@renovaconsulting.com.tr;160.00;EUR;Deneme12;3;AVLB
hasan.ciftci@renovaconsulting.com.tr;170.05;TRY;Deneme13;5;DCTV
hasan.ciftci@renovaconsulting.com.tr;191.68;EUR;Deneme14;2;AVLB
hasan.ciftci@renovaconsulting.com.tr;733.00;TRY;Deneme15;5;DCTV
hasan.ciftci@renovaconsulting.com.tr;812.50;TRY;Deneme16;4;DCTV
hasan.ciftci@renovaconsulting.com.tr;666.66;EUR;Deneme17;4;AVLB
hasan.ciftci@renovaconsulting.com.tr;27.00;USD;Deneme18;2;AVLB
hasan.ciftci@renovaconsulting.com.tr;5.50;TRY;Deneme19;1;AVLB
hasan.ciftci@renovaconsulting.com.tr;170.00;EUR;Deneme20;3AVLB
hasan.ciftci@renovaconsulting.com.tr;412.00;TRY;Deneme21;4;AVLB
hasan.ciftci@renovaconsulting.com.tr;436.00;TRY;Deneme22;5;AVLB
hasan.ciftci@renovaconsulting.com.tr;888.00;TRY;Deneme23;1;AVLB
hasan.ciftci@renovaconsulting.com.tr;822.00;EUR;Deneme24;2;AVLB
hasan.ciftci@renovaconsulting.com.tr;916.00;EUR;Deneme25;;3;AVLB
hasan.ciftci@renovaconsulting.com.tr;1305.78;USD;Deneme26;4;AVLB
hasan.ciftci@renovaconsulting.com.tr;36.36;EUR;Deneme27;5;AVLB
tugrul.ceyhan@renovaconsulting.com.tr;36.36;EUR;İkinci ürün
